titreCours,inscription,progression,moyenneDeClasse,duree,difficulte,nbChapitres,ratioQuizEvaluation,nbEvaluations,derniereMiseAJour,idCours
Classez_et_segmentez_des_données_visuelles,29,34,,15,3,11,0.6666666666666666,3,22,4470531
Initiez-vous_à_la_statistique_inférentielle,55,4,86,12,2,21,0.75,4,8,4525306
Découvrez_les_librairies_Python_pour_la_Data_Science,64,64,96,10,2,8,0,2,57,4452741
Devenez_mentor_sur_OpenClassrooms,76,100,91,6,1,12,1,3,29,3595541
Initiez-vous_à_l'algèbre_relationnelle_avec_le_langage_SQL,192,14,92,20,2,25,0.5,4,25,4449026
Entraînez_un_modèle_prédictif_linéaire,193,65,84,10,2,9,0.5,2,182,4444646
Explorez_vos_données_avec_des_algorithmes_non_supervisés,193,75,85,15,3,13,0.6666666666666666,3,22,4379436
Décrivez_et_nettoyez_votre_jeu_de_données,195,3,95,15,2,24,0.75,4,13,4525266
Créez_votre_Data_Lake,203,44,89,8,2,7,0.5,2,186,4467481
Développez_une_application_iPhone_avec_le_modèle_MVC,218,3,94,30,2,20,0.75,4,61,4504796
Animez_un_atelier_de_créativité,242,49,92,6,1,19,0.75,4,22,4421146
Faites_une_base_de_données_avec_UML,272,4,88,20,2,18,1,3,160,4055451
Apprenez_à_programmer_en_Python,349,4,84,40,3,38,0.5,4,151,235344
Réalisez_des_calculs_distribués_sur_des_données_massives,377,34,85,20,2,15,0.5,4,91,4297166
Évaluez_et_améliorez_les_performances_d'un_modèle_de_machine_learning,412,58,90,10,2,8,0.3333333333333333,3,18,4297211
Développez_votre_site_web_avec_le_framework_Symfony,713,2,90,30,2,27,0.7142857142857143,7,64,3619856
